Marca de Tiempo, Uso de Memoria (%)
14:19:15, 44.9
14:19:16, 44.9
14:19:17, 45.0
14:19:18, 45.0
14:19:19, 45.0
14:19:20, 44.9
14:19:21, 44.9
14:19:22, 44.9
14:19:23, 44.9
14:19:24, 44.9
14:19:25, 44.9
14:19:26, 44.9
14:19:28, 44.9
14:19:29, 44.9
14:19:30, 44.9
14:19:31, 44.9
14:19:32, 44.9
14:19:33, 44.9
14:19:34, 44.9
14:19:35, 44.9
14:19:36, 44.9
14:19:37, 44.9
14:19:38, 44.9
14:19:39, 44.9
14:19:40, 44.9
14:19:41, 44.9
14:19:42, 44.9
14:19:43, 44.9
14:19:44, 44.8
14:19:45, 44.8
14:19:46, 44.8
14:19:47, 44.8
14:19:48, 44.7
14:19:49, 44.8
14:19:50, 44.8
14:19:51, 44.8
14:19:52, 44.8
14:19:53, 44.7
14:19:54, 44.8
14:19:55, 44.8
14:19:56, 44.8
14:19:57, 44.8
14:19:58, 44.8
14:19:59, 44.8
14:20:00, 44.8
14:20:01, 44.8
14:20:02, 44.8
14:20:03, 44.8
14:20:04, 44.8
14:20:05, 44.8
14:20:06, 44.8
14:20:07, 44.8
14:20:08, 44.7
14:20:09, 44.7
14:20:10, 44.7
14:20:11, 44.7
14:20:12, 44.7
14:20:13, 44.7
14:20:14, 44.7
14:20:15, 44.7
14:20:16, 44.7
14:20:17, 44.7
14:20:18, 44.7
14:20:19, 44.7
14:20:20, 44.7
14:20:21, 44.7
14:20:22, 44.7
14:20:23, 44.7
14:20:24, 44.7
14:20:25, 44.7
14:20:26, 44.7
14:20:27, 44.7
14:20:28, 44.7
14:20:29, 44.7
14:20:30, 44.7
14:20:31, 44.7
14:20:32, 44.7
14:20:33, 44.7
14:20:34, 44.7
14:20:35, 44.7
14:20:36, 44.7
14:20:37, 44.7
14:20:38, 44.7
14:20:39, 44.7
14:20:40, 44.7
14:20:41, 44.7
14:20:42, 44.7
14:20:43, 44.7
14:20:44, 44.7
14:20:45, 44.7
14:20:46, 44.7
14:20:47, 44.8
14:20:48, 44.9
14:20:49, 45.0
14:20:50, 45.0
14:20:51, 45.0
14:20:52, 45.0
14:20:53, 45.1
14:20:54, 45.1
14:20:55, 45.1
14:20:56, 45.1
14:20:57, 45.1
14:20:58, 45.1
14:20:59, 45.1
14:21:00, 45.0
14:21:01, 45.0
14:21:02, 45.0
14:21:03, 45.0
14:21:04, 45.0
14:21:05, 45.0
14:21:06, 45.0
14:21:07, 45.0
14:21:08, 45.0
14:21:09, 45.0
14:21:11, 45.0
14:21:12, 45.0
14:21:13, 45.0
14:21:14, 45.0
14:21:15, 45.0
14:21:16, 45.0
14:21:17, 45.0
14:21:18, 45.0
14:21:19, 45.0
14:21:20, 45.0
14:21:21, 45.0
14:21:22, 45.0
14:21:23, 45.0
14:21:24, 45.0
14:21:25, 45.0
14:21:26, 45.0
14:21:27, 45.0
14:21:28, 45.0
14:21:29, 45.0
14:21:30, 45.0
14:21:31, 45.0
14:21:32, 45.0
14:21:33, 45.0
14:21:34, 45.0
14:21:35, 45.0
14:21:36, 45.1
14:21:37, 45.1
14:21:38, 45.1
14:21:39, 45.1
14:21:40, 45.0
14:21:41, 45.0
14:21:42, 45.0
14:21:43, 45.0
14:21:44, 45.0
14:21:45, 45.0
14:21:46, 45.0
14:21:47, 45.0
14:21:48, 45.0
14:21:49, 45.0
14:21:50, 45.0
14:21:51, 45.0
14:21:52, 45.0
14:21:53, 45.0
14:21:54, 45.0
14:21:55, 45.0
14:21:56, 45.0
14:21:57, 45.0
14:21:58, 45.0
14:21:59, 45.0
14:22:00, 45.0
14:22:01, 45.0
14:22:02, 45.0
14:22:03, 45.1
14:22:04, 45.1
14:22:05, 45.1
14:22:06, 45.1
14:22:07, 45.0
14:22:08, 45.1
14:22:09, 45.1
14:22:10, 45.2
14:22:11, 45.1
14:22:12, 45.1
14:22:13, 45.1
14:22:14, 45.1
14:22:15, 45.1
14:22:16, 45.1
14:22:17, 45.1
14:22:18, 45.2
14:22:19, 45.1
14:22:20, 45.1
14:22:21, 45.1
14:22:22, 45.1
14:22:23, 45.1
14:22:24, 45.1
14:22:25, 45.1
14:22:26, 45.0
14:22:27, 45.1
14:22:28, 45.1
14:22:29, 45.1
14:22:30, 45.1
14:22:31, 45.1
14:22:32, 45.1
14:22:33, 45.1
14:22:34, 45.1
14:22:35, 45.1
14:22:36, 45.1
14:22:37, 45.2
14:22:38, 45.2
14:22:39, 45.2
14:22:40, 45.1
14:22:41, 45.2
